emp_no,first_name,last_name,title,from_date,to_date
10064,Udi,Jansch,Staff,1985-11-20,1992-03-02
10137,Maren,Hutton,Staff,1985-02-18,1994-02-18
10144,Marla,Brendel,Staff,1985-10-14,1992-10-14
10256,Irene,Radhakrishnan,Staff,1985-10-12,1990-10-12
10516,Xiadong,Luga,Engineer,1985-10-19,1994-10-19
10524,Shigehiro,Cincotta,Engineer,1985-10-09,1993-10-09
10550,Manton,Leuchs,Engineer,1985-02-03,1994-02-03
10632,Yoshimitsu,Velardi,Technique Leader,1985-07-25,1987-11-20
10744,Yaghout,Syang,Staff,1985-12-29,1992-06-03
10753,Pradeep,Harbusch,Engineer,1985-05-17,1993-05-17
10802,Masato,Setlzner,Engineer,1985-08-24,1990-08-24
10938,Shaowei,Iisaku,Staff,1985-09-24,1993-09-24
11045,Chikako,Schueller,Engineer,1985-08-09,1994-08-09
11065,Filipe,Rathonyi,Engineer,1985-11-14,1991-11-14
11099,Woody,Spataro,Staff,1985-12-31,1990-12-31
11184,Masoud,Theuretzbacher,Staff,1985-04-27,1994-04-27
11244,Navin,Restivo,Staff,1985-06-08,1990-06-08
11375,Dmitri,Noriega,Senior Staff,1985-05-27,9999-01-01
11388,Rosine,Gerteisen,Engineer,1985-12-20,1991-12-20
11402,Freyja,Brizzi,Staff,1985-03-10,1991-03-10
11458,Stevo,Chenoweth,Staff,1985-10-06,1993-10-06
11542,Maia,Kawashima,Staff,1985-06-20,1992-06-20
11572,Vidya,Quittner,Engineer,1985-08-23,1991-08-23
11645,Olivera,Setia,Assistant Engineer,1985-06-10,1994-06-10
11678,Zhaofang,Bernick,Engineer,1985-02-24,1990-02-24
11709,Insup,Wossner,Engineer,1985-11-09,1991-11-09
11760,Along,Miake,Assistant Engineer,1985-09-15,1991-09-15
11828,Mikhail,Paciorek,Staff,1985-06-12,1991-06-12
11908,Candida,Iisaku,Staff,1985-10-16,1991-10-16
11920,Kasturi,Chinal,Assistant Engineer,1985-12-24,1994-12-24
11922,Marco,Chachaty,Senior Engineer,1985-11-01,1992-12-19
